Gene symbol,Gene name,Hour(s) with a significant caste difference:,logFC at 2h,logFC at 4h,logFC at 6h,logFC at 8h
LOC551044,"glucose dehydrogenase [FAD, quinone]","4, 6, 8",-0.02,1.24,1.39,1.71
LOC410424,"pyruvate dehydrogenase (acetyl-transferring) kinase, mitochondrial","4, 6, 8",0.58,1.45,1.17,1.11
LOC100578606,uncharacterized LOC100578606,"6, 8",0.58,1.27,1.22,1.25
Hbg2,alpha-glucosidase,"4, 6, 8",0.22,0.93,1.42,1.72
LOC102654592,coiled-coil domain-containing protein 112,"4, 6, 8",0.47,1.45,1.3,0.99
LOC100577539,uncharacterized LOC100577539,"6, 8",0.33,0.6,1.43,1.84
LOC100577142,G-protein coupled receptor Mth,"4, 6, 8",0.29,1,1.29,1.61
LOC100578532,uncharacterized LOC100578532,"4, 6, 8",-0.22,1.41,1.46,1.5
LOC107965483,uncharacterized LOC107965483,4,0.09,1.82,0.98,1.25
LOC552459,glycine-rich cell wall structural protein,"4, 8",0.14,1.24,0.88,1.85
LOC107964972,uncharacterized LOC107964972,8,0.24,0.66,1.42,1.78
LOC102653975,uncharacterized LOC102653975,"4, 6, 8",0.16,1.11,1.27,1.47
LOC102654939,uncharacterized LOC102654939,"4, 6, 8",0.01,1.19,1.28,1.51
LOC413109,uncharacterized LOC413109,"6, 8",0.07,1.23,1.58,1.1
LOC100577135,protein amnionless,6,-1.45,-0.16,-1.6,-0.76
LOC411188,L-lactate dehydrogenase,"6, 8",0.32,0.69,1.19,1.77
LOC552024,myo-inositol 2-dehydrogenase,6,0.46,0.83,1.75,0.89
LOC406081,glucose oxidase,"4, 6, 8",0.18,1.09,1.01,1.63
LOC102655088,uncharacterized LOC102655088,"6, 8",0.2,0.99,1.1,1.62
LOC113218776,uncharacterized LOC113218776,"6, 8",0.55,0.1,1.65,1.61
LOC113219028,pancreatic triacylglycerol lipase-like,"4, 6, 8",0.12,1.16,1.58,1.04
LOC102653666,uncharacterized LOC102653666,"6, 8",-0.21,1.07,1.38,1.64
LOC102656882,cytochrome P450 9e2-like,4,0.45,1.51,0.88,1.01
LOC107965318,uncharacterized LOC107965318,"6, 8",0.01,0.88,1.42,1.54
LOC100576901,cGMP-dependent protein kinase 1,"4, 6, 8",0.44,1.21,1.24,0.95
LOC410535,protein lozenge,"6, 8",-0.21,1.11,1.21,1.73
LOC410495,cytochrome P450 307a1,8,0.28,0.94,1.1,1.51
LOC107965219,feline leukemia virus subgroup C receptor-related protein 2,"4, 6, 8",-0.33,-0.79,-1.01,-1.7
LOC552523,L-threonine ammonia-lyase,8,0.49,0.86,0.98,1.49
LOC113219113,uncharacterized LOC113219113,"4, 6, 8",0.57,0.81,0.84,1.58
LOC107965355,uncharacterized LOC107965355,8,0.15,1.13,0.71,1.8
LOC113219133,uncharacterized LOC113219133,8,0.09,1.15,0.92,1.61
LOC411207,CCAAT/enhancer-binding protein,"4, 6, 8",0.28,0.76,1.34,1.39
LOC100577013,uncharacterized LOC100577013,8,0.45,1.07,0.99,1.27
LOC100578928,calcium and integrin-binding protein 1,"4, 6, 8",0.45,1.18,1.1,1.03
LOC725270,sentrin-specific protease 6,6,-0.34,-0.56,-1.8,-1.06
LOC413596,receptor-type guanylate cyclase gcy-4,"4, 6",0.65,1.48,1.01,0.61
LOC725263,tumor protein p53-inducible nuclear protein 2,"4, 6, 8",0.43,1.28,0.88,1.16
LOC102654050,uncharacterized LOC102654050,"4, 8",0.27,1.39,1.02,1.06
LOC102653589,uncharacterized LOC102653589,8,0.12,0.68,1.17,1.76
LOC409448,collagen alpha-1(IX) chain,"4, 6, 8",-0.2,-0.88,-1.47,-1.16
LOC100577164,uncharacterized LOC100577164,"6, 8",0.48,0.63,1.34,1.26
LOC102654676,neurofilament heavy polypeptide,"4, 6, 8",0.23,1.06,0.9,1.49
LOC725202,chymotrypsin inhibitor,"4, 8",-0.07,1.41,0.76,1.55
LOC100578546,uncharacterized LOC100578546,"2, 4, 6",-1.26,-0.88,-1.14,-0.37
LOC724608,transient receptor potential,8,0.46,1.14,0.94,1.1
LOC100577777,cysteine-rich venom protein 1,8,0.3,0.53,1.14,1.67
LOC102655564,uncharacterized LOC102655564,"4, 6, 8",0.21,0.91,1.16,1.36
LOC113218907,uncharacterized LOC113218907,"6, 8",0.25,0.55,1.38,1.44
LOC724552,elongation of very long chain fatty acids protein AAEL008004,"4, 6, 8",0.53,0.73,1.2,1.16
LOC100578557,solute carrier family 46 member 3,8,-0.04,0.85,1.25,1.56
LOC100578354,uncharacterized LOC100578354,8,-0.19,1.1,1.28,1.41
LOC552592,facilitated trehalose transporter Tret1,4,1.66,1.64,0.68,-0.43
LOC411186,synaptic vesicle glycoprotein 2C,"4, 6",0.24,1.23,1.37,0.71
LOC100577537,uncharacterized LOC100577537,"6, 8",0.32,0.44,0.97,1.83
LOC725578,uncharacterized LOC725578,"4, 6, 8",0.6,1.11,0.9,0.93
LOC102654965,uncharacterized LOC102654965,"6, 8",0.09,0.7,1.4,1.33
LOC102653599,uncharacterized LOC102653599,4,0.67,1.56,0.43,0.86
LOC113218724,uncharacterized LOC113218724,"6, 8",0.26,0.75,1.26,1.25
LOC113219126,uncharacterized LOC113219126,8,0.58,0.83,0.93,1.18
Fibroin3,silk fibroin 3,8,-0.13,1.17,1,1.48
LOC107965484,uncharacterized LOC107965484,4,-0.13,2.05,0.99,0.6
LOC552149,aquaporin AQPAn.G,"4, 6, 8",0.43,0.79,0.9,1.4
LOC410732,3-phosphoinositide-dependent protein kinase 1,"4, 6, 8",0.36,1.15,0.71,1.27
LOC727110,yellow-x2,"6, 8",0.01,0.74,1.1,1.62
Vg,vitellogenin,"6, 8",0.05,-0.31,-1.37,-1.84
LOC726362,4-coumarate--CoA ligase 1,"4, 6, 8",0.3,0.87,1.1,1.2
LOC725890,kinesin F,6,0.23,0.54,1.79,0.89
LOC107964224,uncharacterized LOC107964224,"6, 8",0.02,-0.83,-1.12,-1.46
LOC102655661,ecdysone-induced protein 74EF-like,"4, 6, 8",0.36,1.21,1,0.81
LOC550930,TGF-beta receptor type-1,8,0.46,1.28,0.51,1.13
LOC552792,nanchung,6,0.49,0.83,1.34,0.69
LOC113219215,uncharacterized LOC113219215,"4, 6, 8",-0.33,0.78,1.2,1.67
Or63,odorant receptor 63,"4, 8",0.06,1.15,0.68,1.43
LOC107964196,uncharacterized LOC107964196,8,0.19,1,0.64,1.5
LOC102654381,uncharacterized LOC102654381,"4, 6, 8",0.55,0.93,0.63,1.22
LOC100577185,uncharacterized LOC100577185,8,-0.29,-0.72,-0.83,-1.47
LOC100576446,solute carrier family 26 member 6,"4, 6, 8",0.13,0.69,1.16,1.32
LOC102656189,uncharacterized LOC102656189,"4, 6, 8",0.17,1.01,0.85,1.28
LOC725978,translation initiation factor IF-2,"4, 8",0.19,1.22,0.59,1.29
LOC100578420,uncharacterized LOC100578420,"4, 6, 8",0.17,1.12,1,1
LOC726040,4-coumarate--CoA ligase 1,"4, 6, 8",0.31,0.49,1.06,1.43
LOC551957,headcase protein,"4, 6, 8",0.3,1.2,1.01,0.77
LOC725159,probable cytochrome P450 6a14,8,0.44,-0.69,-1,-2.02
LOC100576458,urea transporter 2,"6, 8",0.45,0.35,0.98,1.49
LOC724216,juvenile hormone acid O-methyltransferase,"6, 8",0.09,0.67,0.92,1.56
LOC113219372,organic cation transporter protein-like,4,-0.03,1.41,1.09,0.76
LOC724872,uncharacterized LOC724872,"6, 8",-0.06,0.24,1.58,1.47
LOC113219226,protein AF-9-like,8,-0.26,0.63,1.11,1.74
LOC724518,serine-rich adhesin for platelets,"4, 6, 8",0.24,0.69,1.07,1.2
LOC724565,trypsin-7,8,0.24,0.86,0.55,1.55
LOC410167,sorbitol dehydrogenase,"6, 8",-0.1,0.75,1,1.55
LOC100578733,nose resistant to fluoxetine protein 6,"4, 6, 8",-0.25,-0.74,-1.13,-1.07
LOC410562,serine/threonine-protein kinase meng-po,"6, 8",0.17,0.81,1,1.2
LOC410465,UNC93-like protein,8,0.14,0.9,1.04,1.1
LOC408666,uncharacterized LOC408666,"4, 6, 8",0.01,0.6,1.19,1.37
CSP2,chemosensory protein 2,"6, 8",0.08,0.75,1.22,1.1
LOC411978,myrosinase 1,"4, 6, 8",0.18,0.63,1.18,1.16
LOC107964158,uncharacterized LOC107964158,"4, 6, 8",0.12,0.98,0.94,1.1
LOC551086,zinc finger protein chinmo,4,0.3,1.43,0.72,0.68
LOC113218875,uncharacterized LOC113218875,"4, 6, 8",0.52,0.95,0.9,0.75
LOC413263,putative inorganic phosphate cotransporter,"4, 6",0.89,1.11,0.96,0.15
Nrx-1,neurexin 1,4,0.38,1.1,0.97,0.63
LOC102655235,uncharacterized LOC102655235,8,0.36,0.75,1.01,0.97
LOC726969,farnesyl pyrophosphate synthase,"6, 8",-0.15,0.81,1.17,1.25
LOC724304,ATP-binding cassette sub-family G member 1,"4, 6, 8",0.08,1,0.88,1.11
LOC102656575,uncharacterized LOC102656575,"4, 6, 8",-0.07,1.02,1.14,0.99
LOC410013,calexcitin-2,"6, 8",-0.13,-0.51,-1.15,-1.28
LOC409667,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,"4, 6, 8",0.14,1.1,0.95,0.88
LOC113219364,uncharacterized LOC113219364,"4, 8",-0.35,-1.51,-0.24,-0.98
LOC107965117,uncharacterized LOC107965117,"6, 8",-0.13,0.86,0.96,1.37
LOC107964291,uncharacterized LOC107964291,"6, 8",0.32,0.88,0.99,0.86
LOC724952,sodium-independent sulfate anion transporter,8,0.51,0.84,0.8,0.9
LOC724211,cytochrome P450 9e2,"6, 8",0.36,0.4,1.24,1.05
LOC724561,E3 ubiquitin-protein ligase DCST1,"4, 6, 8",0.25,0.94,0.82,1.02
LOC113219098,uncharacterized LOC113219098,4,0.46,1.39,0.78,0.4
LOC551094,fatty-acid amide hydrolase 2-B,"6, 8",0.34,0.78,0.96,0.94
LOC726230,cAMP-responsive element-binding protein-like 2,"6, 8",0.29,0.72,1.13,0.87
LOC724433,kell blood group glycoprotein homolog,8,0.34,0.5,0.96,1.21
LOC411093,testis-specific serine/threonine-protein kinase 1,"4, 6, 8",0.37,0.7,0.82,1.12
LOC550828,elongation of very long chain fatty acids protein AAEL008004,6,-0.12,-0.83,-1.56,-0.49
LOC409792,electroneutral sodium bicarbonate exchanger 1,"6, 8",0.4,0.43,0.94,1.21
LOC726347,uncharacterized LOC726347,8,0.58,0.61,0.81,0.98
LOC409829,F-box/LRR-repeat protein 20,"4, 8",0.39,1.22,0.57,0.79
ACSF2,acyl-CoA synthetase family member 2,"6, 8",-0.09,0.69,0.87,1.49
LOC113219197,uncharacterized LOC113219197,8,0.25,-1.08,-0.68,-1.43
LOC412855,Down syndrome cell adhesion molecule-like protein Dscam2,6,0.57,0.81,1.01,0.55
LOC408718,leukocyte tyrosine kinase receptor,"4, 6, 8",0.24,0.88,0.84,0.98
LOC113219095,uncharacterized LOC113219095,8,0.41,0.61,0.75,1.17
LOC408456,facilitated trehalose transporter Tret1-2 homolog,"4, 6, 8",0.14,0.98,0.99,0.82
LOC552640,ammonium transporter 1-like,"6, 8",0.27,0.48,1.16,1.01
LOC409361,dopamine N-acetyltransferase,"6, 8",0.45,0.45,1.02,0.99
LOC100577053,"glycine dehydrogenase (decarboxylating), mitochondrial","4, 6, 8",0.17,0.77,0.99,0.98
LOC725114,chymotrypsin inhibitor,"4, 6, 8",-0.23,0.88,0.91,1.36
LOC113218752,uncharacterized LOC113218752,"4, 8",-0.08,1.28,0.52,1.17
CPR5,cuticular protein 5,8,0.32,0.89,0.61,1.06
LOC408467,chloride channel protein 2,"4, 6, 8",0.56,0.75,0.83,0.75
LOC727522,uncharacterized LOC727522,"4, 6",0.4,0.93,0.94,0.61
LOC102656121,uncharacterized LOC102656121,"6, 8",0.59,0.48,0.78,1.03
LOC107964899,uncharacterized LOC107964899,8,-0.19,0.92,0.73,1.41
LOC410654,cholecystokinin receptor-like,8,0.4,0.46,0.78,1.23
LOC100576425,uncharacterized LOC100576425,"4, 6, 8",0.01,0.9,1,0.96
LOC100579047,cuticular protein 10,8,0.12,0.65,0.65,1.43
LOC725230,histone H4,"4, 6, 8",-0,0.87,0.7,1.29
LOC107964601,uncharacterized LOC107964601,6,-0.18,0.83,1.25,0.95
LOC410353,CUGBP Elav-like family member 4,4,0.49,1.17,0.48,0.7
E75,ecdysone-induced protein 75,"4, 6, 8",-0.06,1.15,0.69,1.02
LOC724421,fibrillin-2,"6, 8",-0.1,0.6,0.97,1.33
LOC726905,cilia- and flagella-associated protein 61-like,6,0.11,0.86,1.15,0.68
LOC552297,low density lipoprotein receptor adapter protein 1-B,"6, 8",0.52,0.4,1.02,0.85
LOC412774,uncharacterized LOC412774,8,0.3,0.59,0.61,1.27
LOC100576913,uncharacterized LOC100576913,8,-0.33,0.96,0.77,1.38
LOC100576895,putative fatty acyl-CoA reductase CG5065,8,-0.02,0.71,0.84,1.25
LOC100578017,uncharacterized LOC100578017,"4, 8",0.06,0.96,0.78,0.95
LOC409039,uncharacterized LOC409039,"4, 8",0.3,1.07,0.5,0.88
LOC552193,proton-coupled amino acid transporter-like protein CG1139,"4, 6, 8",0.54,0.7,0.86,0.64
LOC102656221,uncharacterized LOC102656221,6,-0.09,0.88,1.08,0.86
LOC102656592,uncharacterized LOC102656592,"6, 8",-0.87,0.52,1.42,1.66
LOC100576841,uncharacterized LOC100576841,"4, 6, 8",0.41,0.64,0.71,0.97
LOC408805,progestin and adipoQ receptor family member 3,6,0.79,0.7,0.76,0.48
LOC411048,sestrin homolog,4,0.44,1.22,0.52,0.54
LOC411297,insulin-like peptide receptor,"4, 8",-0,1.25,0.54,0.94
LOC113219373,uncharacterized LOC113219373,"4, 8",-0.06,-1.36,0,-1.3
LOC408697,KN motif and ankyrin repeat domain-containing protein 3,"4, 6",0.63,0.84,0.85,0.38
LOC412088,mucin-12,8,0.23,0.74,0.68,1.05
LOC409187,MD-2-related lipid-recognition protein,"4, 6, 8",0.22,0.73,0.75,1
LOC102654405,uncharacterized LOC102654405,8,0.4,0.86,0.62,0.81
LOC725698,uncharacterized LOC725698,8,0.54,0.38,0.82,0.95
LOC107966086,uncharacterized LOC107966086,8,0.17,0.79,0.81,0.92
LOC725439,uncharacterized LOC725439,"6, 8",-0.2,-0.5,-0.68,-1.3
LOC102653857,uncharacterized LOC102653857,8,0.41,0.86,0.51,0.9
LOC102656537,uncharacterized LOC102656537,"6, 8",0.3,0.49,0.87,1.02
LOC552215,uncharacterized LOC552215,"6, 8",-0.27,0.61,0.75,1.58
LOC725831,uncharacterized LOC725831,"4, 8",-0.07,1.1,0.51,1.11
LOC552229,esterase B1,8,-0.14,0.23,0.43,2.13
nAChRa7,nicotinic acetylcholine receptor alpha7 subunit,"4, 6, 8",0.58,0.86,0.64,0.58
LOC100577496,glutamate receptor 3,"6, 8",0.63,0.57,0.77,0.68
LOC726371,cysteine dioxygenase type 1,"4, 6, 8",0.08,0.77,0.87,0.93
LOC113218886,uncharacterized LOC113218886,8,0.61,0.62,0.45,0.97
LOC102655862,uncharacterized LOC102655862,"4, 6",0.23,1.02,0.87,0.53
LOC107964461,uncharacterized LOC107964461,"6, 8",0.1,0.1,1.08,1.36
LOC725500,laccase,"6, 8",0.15,0.35,0.94,1.19
Foxp,FoxP protein,"4, 6, 8",0.12,0.92,0.65,0.94
Pban,pheromone biosynthesis-activating neuropeptide,8,0.23,0.65,0.72,1.02
LOC100578389,uncharacterized LOC100578389,4,0.24,1.24,0.89,0.26
LOC552512,kinesin 3E,"4, 6, 8",0.01,0.79,0.73,1.09
LOC100577487,uncharacterized LOC100577487,8,-0.07,-0.11,-1.03,-1.41
LOC414008,ribonucleoside-diphosphate reductase subunit M2,"4, 6, 8",-0.3,-0.57,-1.03,-0.72
LOC726914,probable serine/threonine-protein kinase DDB_G0272282,"4, 6, 8",0.05,0.81,0.89,0.86
LOC552672,proclotting enzyme,8,0.11,0.82,0.5,1.16
LOC552190,prisilkin-39,"6, 8",0.24,0.48,0.82,1.06
LOC725123,activity-regulated cytoskeleton associated protein 2,4,0.34,1.28,0.17,0.81
LOC412439,PDF receptor,4,-0.09,-1.45,-0.72,-0.32
LOC409260,short-chain dehydrogenase/reductase family 16C member 6,"4, 6, 8",0.53,0.65,0.88,0.52
LOC411569,protein TANC2,"4, 6, 8",0.04,0.91,0.84,0.79
LOC410278,putative inorganic phosphate cotransporter,8,0.45,0.6,0.51,1
LOC100576405,AT-rich interactive domain-containing protein 5B,"4, 8",0.06,0.97,0.7,0.85
LOC113218844,uncharacterized LOC113218844,8,0.38,0.84,0.33,1.02
LOC725238,histone H1,"4, 8",0.05,0.97,0.62,0.93
LOC102656570,"glucose dehydrogenase [FAD, quinone]","4, 8",0.24,0.79,0.61,0.93
LOC113219297,uncharacterized LOC113219297,"6, 8",0.4,0.55,0.66,0.96
LOC725422,box A-binding factor,"4, 6, 8",0.24,0.75,0.75,0.81
LOC412896,octopamine receptor beta-2R,6,0.52,0.44,1.32,0.27
Tret1,trehalose transporter 1,8,0.78,0.51,0.58,0.67
LOC725380,chymotrypsin inhibitor,8,-0.08,0.68,0.71,1.23
LOC724178,uncharacterized LOC724178,"4, 6",0.68,0.77,0.73,0.36
LOC100578213,probable serine/threonine-protein kinase dyrk2,8,0.21,0.48,0.54,1.28
LOC113219108,uncharacterized LOC113219108,"4, 8",0.03,1.02,0.49,0.95
LOC113219094,uncharacterized LOC113219094,"6, 8",0.33,0.31,0.72,1.12
LOC725074,omega-conotoxin-like protein 1,"4, 8",-0.17,0.73,0.63,1.3
LOC725803,protein artichoke,8,0.22,0.74,0.6,0.93
LOC102654777,organic cation transporter protein,"4, 6, 8",0.17,0.86,0.86,0.59
LOC102653894,uncharacterized LOC102653894,"4, 6, 8",0.03,0.73,0.72,1.01
LOC410828,"tryptophan 2,3-dioxygenase","4, 6, 8",0.2,0.73,0.74,0.81
LOC412914,uncharacterized LOC412914,"4, 8",0.27,0.69,0.54,0.98
LOC107965199,UDP-glucuronosyltransferase 1-1,"6, 8",0.5,0.51,0.58,0.88
LOC113218551,uncharacterized LOC113218551,"4, 8",0.18,0.95,0.6,0.73
LOC100576555,cytochrome b561 domain-containing protein 2,8,-0.25,0,0.9,1.8
LOC408348,uncharacterized LOC408348,8,0.52,0.33,0.06,1.54
LOC412470,MAP kinase-interacting serine/threonine-protein kinase 1,"4, 6, 8",0.36,0.96,0.59,0.54
LOC107963974,uncharacterized LOC107963974,8,-0.03,0.55,0.71,1.22
LOC100577923,protein LLP homolog,"6, 8",-0.5,-0.55,-0.8,-0.59
LOC100577943,scavenger receptor class B member 1,6,0.22,0.83,0.83,0.58
LOC406132,histone H4,"4, 6, 8",0.17,0.79,0.62,0.87
LOC102653934,uncharacterized LOC102653934,"6, 8",0.06,0.68,0.92,0.77
LOC102656639,hepatoma-derived growth factor-related protein 2-like,8,0.18,0.58,0.75,0.91
LOC410336,dipeptidyl aminopeptidase-like protein 6,"6, 8",0.06,0.5,1.05,0.81
LOC726495,protein D2,"6, 8",0.07,0.57,0.83,0.95
LOC408690,calmodulin,"4, 6, 8",-0.01,0.87,0.78,0.77
TpnCIIIa,troponin C type IIIa,8,0,0.82,0.39,1.2
LOC551632,methyl farnesoate epoxidase,"6, 8",0.11,0.52,0.9,0.87
LOC413576,facilitated trehalose transporter Tret1-2 homolog,"6, 8",0.44,0.53,0.77,0.66
LOC410829,uncharacterized LOC410829,4,0.37,0.91,0.63,0.45
LOC100576925,uncharacterized LOC100576925,8,0.19,0.5,0.52,1.13
LOC410448,carcinine transporter,"4, 6, 8",-0.04,0.64,0.96,0.79
LOC100576935,uncharacterized LOC100576935,8,-0.12,0.72,0.52,1.2
LOC107964181,uncharacterized LOC107964181,"6, 8",-0.3,-0.46,-0.7,-0.87
LOC113218762,uncharacterized LOC113218762,"6, 8",-0.41,0.58,0.91,1.25
LOC102655530,uncharacterized LOC102655530,"6, 8",-0.01,0.46,0.72,1.13
ILP-2,insulin-like peptide 2,"4, 6, 8",-0.29,-0.56,-0.82,-0.65
LOC107964083,uncharacterized LOC107964083,6,-0.14,0.23,1.26,0.95
LOC100576986,uncharacterized LOC100576986,8,0.04,0.59,0.56,1.12
LOC102656498,uncharacterized LOC102656498,"6, 8",0.01,0.56,0.92,0.8
LOC410550,"aminomethyltransferase, mitochondrial","6, 8",0.11,0.58,0.69,0.91
LOC725281,"probable malate dehydrogenase, mitochondrial","6, 8",0.15,0.35,0.78,1.01
LOC724734,hemicentin-1,"6, 8",0.02,0.4,0.59,1.28
LOC727455,UBA-like domain-containing protein 2,4,0.35,1.1,0.47,0.35
LOC413416,protein bicaudal C homolog 1-B,"4, 6, 8",0.47,0.74,0.57,0.48
