Gene symbol,Gene name,Significant temporal comparisons:,logFC: 0 vs 2h,logFC: 0 vs 4h,logFC: 0 vs 6h,logFC: 0 vs 8h,logFC: 2 vs 4h,logFC: 2 vs 6h,logFC: 2 vs 8h,logFC: 4 vs 6h,logFC: 4 vs 8h,logFC: 6 vs 8h
LOC725965,insulinoma-associated protein 1-like,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-1.19,-1.43,-1.66,-1.92,-0.24,-0.47,-0.73,-0.23,-0.49,0.02
LOC726550,CCAAT/enhancer-binding protein gamma,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.71,0.42,0.59,0.41,-0.29,-0.12,-0.3,0.16,-0.01,0.06
LOC408847,uroporphyrinogen-III synthase,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.55,0.55,0.76,0.9,-0,0.21,0.35,0.21,0.35,-0.07
LOC408728,mediator of RNA polymerase II transcription subunit 18,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.6,0.54,0.19,0.37,-0.06,-0.41,-0.23,-0.35,-0.17,0.45
LOC410885,T-box protein 2,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.11,0.5,0.68,0.85,-0.6,-0.43,-0.26,0.18,0.34,0.12
LOC409664,erythroid differentiation-related factor 1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.05,0.37,0.53,0.47,-0.68,-0.51,-0.58,0.16,0.1,0.11
LOC726706,F-box/LRR-repeat protein 7,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.52,0.35,0.45,0.57,-0.17,-0.07,0.06,0.1,0.23,0.09
LOC107964618,uncharacterized LOC107964618,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-2.03,-2.14,-2.47,-3,-0.12,-0.44,-0.97,-0.33,-0.86,0.66
LOC725393,protein TIS11,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.64,-0.55,-0.74,-0.9,0.09,-0.1,-0.26,-0.19,-0.35,-0.11
LOC413817,inositol-trisphosphate 3-kinase homolog,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.97,-1.22,-0.89,-0.98,-0.25,0.07,-0.01,0.32,0.24,-0.26
LOC725101,uncharacterized LOC725101,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.46,0.49,0.39,0.55,0.03,-0.07,0.09,-0.09,0.06,0.06
LOC726447,histone H2B,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.62,-0.37,-0.34,-0.39,0.25,0.28,0.23,0.03,-0.02,-0.24
LOC113218987,uncharacterized LOC113218987,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.21,0.75,0.95,0.77,-0.47,-0.26,-0.44,0.2,0.03,0.11
LOC411646,protein Gawky,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.39,-0.2,-0.41,-0.45,0.19,-0.03,-0.07,-0.22,-0.26,-0.16
LOC726916,zinc finger protein 91,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.6,-0.52,-0.77,-0.98,0.07,-0.17,-0.38,-0.24,-0.45,0.19
LOC113219267,uncharacterized LOC113219267,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.33,1.56,1.18,1.53,0.23,-0.15,0.2,-0.38,-0.03,0.05
LOC551133,methyltransferase-like protein 6,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.64,0.57,0.73,0.6,-0.07,0.09,-0.05,0.15,0.02,-0.22
LOC411700,heat shock protein 83,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.26,0.13,0.36,0.52,-1.13,-0.89,-0.74,0.23,0.39,0.8
LOC414009,microprocessor complex subunit DGCR8,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.06,0.85,0.59,0.44,-0.21,-0.46,-0.62,-0.25,-0.41,0.16
LOC100577003,uncharacterized LOC100577003,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.79,0.73,0.62,0.73,-0.06,-0.17,-0.06,-0.11,0,0.18
LOC727091,forkhead box protein O,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.76,-0.64,-0.87,-0.86,0.12,-0.11,-0.1,-0.23,-0.22,0.27
LOC102656537,uncharacterized LOC102656537,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.18,1.27,1.61,1.79,0.09,0.42,0.6,0.33,0.52,-0.72
LOC107965486,uncharacterized LOC107965486,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.68,-1.21,-1.17,-1.45,-0.53,-0.49,-0.78,0.04,-0.25,0.14
LOC550870,uncharacterized LOC550870,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.98,-0.59,-0.68,-0.88,0.39,0.3,0.1,-0.09,-0.29,-0.39
LOC411893,"cytochrome P450 315a1, mitochondrial",0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.3,0.23,0.11,0.02,-0.07,-0.19,-0.28,-0.12,-0.22,0.41
Mir281,microRNA mir-281,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,2.35,1.81,1.94,2.04,-0.54,-0.41,-0.31,0.13,0.23,-0.11
LOC409361,dopamine N-acetyltransferase,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.3,1.32,1.93,1.97,0.02,0.63,0.67,0.6,0.65,-1.08
LOC100579007,tetratricopeptide repeat protein 25,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.03,0.96,1.32,0.99,-0.07,0.29,-0.04,0.37,0.03,-0.37
LOC409402,uncharacterized LOC409402,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.46,0.85,1.1,0.98,0.4,0.64,0.53,0.24,0.13,-0.45
LOC100576369,ets DNA-binding protein pokkuri,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.33,-0.34,-0.5,-0.54,-0.01,-0.17,-0.21,-0.16,-0.2,0.09
LOC411090,tubulin--tyrosine ligase-like protein 12,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.36,0.33,0.29,0.33,-0.04,-0.08,-0.03,-0.04,0.01,0.02
LOC551712,"lipoyltransferase 1, mitochondrial",0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.35,0.35,0.48,0.54,-0,0.13,0.18,0.13,0.19,-0.23
LOC725372,uncharacterized LOC725372,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.56,0.34,0.23,0.26,-0.22,-0.33,-0.3,-0.11,-0.08,0.18
LOC725925,prolyl 3-hydroxylase OGFOD1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.37,0.29,0.23,0.35,-0.08,-0.14,-0.02,-0.05,0.06,0.27
LOC413006,leucine-rich repeat flightless-interacting protein 2,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,0.46,0.25,0.29,0.35,-0.21,-0.16,-0.11,0.05,0.1,-0.01
LOC102654865,uncharacterized LOC102654865,0 vs 2; 0 vs 4; 0 vs 6; 2 vs 8,0.87,0.46,0.63,0.58,-0.4,-0.24,-0.29,0.16,0.12,0.59
LOC107964652,uncharacterized LOC107964652,0 vs 2; 0 vs 4; 0 vs 6; 2 vs 8,0.88,0.88,0.88,0.85,-0,0,-0.02,0.01,-0.02,0.19
LOC102655090,uncharacterized LOC102655090,0 vs 2; 0 vs 4; 0 vs 6; 2 vs 8,0.33,0.35,0.44,0.09,0.02,0.1,-0.24,0.09,-0.26,0.32
LOC102654184,plectin,0 vs 2; 0 vs 4; 0 vs 8; 2 vs 8,1.25,1.12,1.27,1.62,-0.14,0.02,0.37,0.16,0.5,0.02
LOC725596,leukocyte receptor cluster member 8 homolog,0 vs 2; 0 vs 6; 0 vs 8; 2 vs 8,0.81,0.5,0.6,0.58,-0.31,-0.21,-0.22,0.1,0.09,0.1
LOC410791,mitochondrial uncoupling protein 2,0 vs 2; 0 vs 6; 0 vs 8; 2 vs 8,-0.68,-0.2,-0.66,-0.37,0.47,0.02,0.3,-0.45,-0.17,-0.46
LOC411227,tyrosine-protein phosphatase non-receptor type 9,0 vs 2; 0 vs 6; 0 vs 8; 4 vs 8,-0.31,-0.3,-0.56,-0.54,0.01,-0.25,-0.23,-0.26,-0.24,0.22
LOC410169,twinfilin,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,0.1,0.08,0.18,0.27,-0.01,0.08,0.17,0.09,0.19,0.02
LOC102655073,histone H4,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,-0.23,-0.12,-0.26,-0.21,0.1,-0.03,0.02,-0.14,-0.08,0.02
E75,ecdysone-induced protein 75,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,-0.43,-0.03,-0.39,-0.7,0.4,0.04,-0.27,-0.36,-0.67,0.02
LOC100577670,uncharacterized LOC100577670,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,-0.66,-0.71,-1.01,-0.85,-0.05,-0.35,-0.19,-0.3,-0.14,0.56
LOC411406,zinc metalloproteinase nas-13,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,-1.45,-1.72,-2.59,-2.27,-0.28,-1.15,-0.83,-0.87,-0.55,1.74
LOC550798,protein ERGIC-53,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,0.07,0.21,0.23,0.31,0.15,0.16,0.24,0.02,0.1,-0.08
LOC551463,decaprenyl-diphosphate synthase subunit 2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,0.23,0.43,0.86,0.87,0.19,0.62,0.64,0.43,0.45,-0.5
LOC113218768,uncharacterized LOC113218768,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,-0.08,-0.23,-0.49,-0.44,-0.15,-0.41,-0.36,-0.26,-0.21,0.34
LOC725838,uncharacterized LOC725838,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,-0.97,-1.26,-2.15,-2.29,-0.3,-1.18,-1.33,-0.89,-1.03,1.52
LOC410172,translocating chain-associated membrane protein 1-like 1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,0.23,0.41,0.67,0.79,0.18,0.45,0.57,0.27,0.39,-0.36
LOC412968,putative epidermal cell surface receptor,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,0.41,0.7,0.94,1.09,0.29,0.53,0.69,0.24,0.39,-0.38
Antp,homeotic protein antennapedia,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,-0.14,-0.16,-0.42,-0.66,-0.02,-0.27,-0.52,-0.25,-0.5,0.15
LOC100577939,probable serine/threonine-protein kinase kinX,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,-0.32,-0.75,-0.28,-0.6,-0.42,0.04,-0.28,0.46,0.15,0.01
LOC551353,translocon-associated protein subunit alpha,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,0.16,0.3,0.39,0.53,0.15,0.23,0.37,0.09,0.22,-0.18
LOC551496,H/ACA ribonucleoprotein complex subunit GAR1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,-0.39,-0.58,-0.74,-0.58,-0.2,-0.35,-0.19,-0.16,0.01,0.59
LOC100577331,cell wall integrity and stress response component 1,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,0.29,0.51,0.9,0.75,0.22,0.61,0.47,0.39,0.25,-0.48
LOC552708,major facilitator superfamily domain-containing protein 10,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,0.02,0.12,0.47,0.83,0.1,0.45,0.81,0.35,0.71,-0.27
LOC409307,uncharacterized LOC409307,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,0.49,0.81,1.3,1.64,0.32,0.81,1.15,0.49,0.83,-0.66
LOC725239,RNA-binding protein 33,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,1.17,0.99,2.58,3.38,-0.18,1.41,2.21,1.59,2.39,-1.8
LOC411983,putative fatty acyl-CoA reductase,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,0.33,0.6,1.45,1.87,0.27,1.13,1.54,0.86,1.28,-1.28
LOC725710,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,1.2,1.14,2.94,3.89,-0.06,1.74,2.69,1.8,2.76,-2.01
LOC726750,fibroin heavy chain,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.21,-0.41,-0.9,-1.06,-0.2,-0.69,-0.86,-0.49,-0.66,0.44
LOC411622,uncharacterized LOC411622,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,1.02,1.28,3.23,4.2,0.26,2.21,3.18,1.95,2.92,-2.32
LOC408902,F-box/LRR-repeat protein 16,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0,0.02,-0.38,-0.45,0.02,-0.38,-0.45,-0.4,-0.47,0.23
LOC412220,vesicular glutamate transporter 2.2,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.04,0.4,1.25,1.77,0.44,1.29,1.81,0.85,1.36,-1.12
LOC551089,translation initiation factor IF-2,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,1.56,2.1,3.82,5.17,0.54,2.25,3.6,1.72,3.07,-2.96
LOC107965368,TOX high mobility group box family member 3-like,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,1.78,1.4,3.54,4.64,-0.38,1.76,2.85,2.14,3.24,-2.65
LOC726981,circadian clock-controlled protein,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.32,-0.19,-0.81,-1.35,0.13,-0.49,-1.03,-0.62,-1.16,0.73
LOC409759,serine-rich adhesin for platelets,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,0.85,0.49,1.95,2.94,-0.36,1.1,2.09,1.46,2.45,-1.53
LOC726457,flocculation protein FLO11,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.14,-0.04,-1.22,-1.03,0.1,-1.08,-0.9,-1.18,-1,1.11
LOC724664,A-agglutinin anchorage subunit,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.49,-0.4,-1.85,-2.29,0.09,-1.36,-1.8,-1.45,-1.89,1.43
LOC102655185,serine-rich adhesin for platelets-like,0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,0.32,0.43,0.85,0.46,0.11,0.53,0.15,0.42,0.03,-0.65
LOC408923,transcription initiation factor TFIID subunit 4,0 vs 2; 0 vs 4; 0 vs 6,0.86,0.08,0.07,0.09,-0.77,-0.78,-0.76,-0.01,0.01,0.45
LOC100577180,uncharacterized LOC100577180,0 vs 2; 0 vs 4; 0 vs 6,0.38,0.31,0.2,0.31,-0.07,-0.18,-0.07,-0.11,-0.01,0.21
LOC550881,mediator of RNA polymerase II transcription subunit 8,0 vs 2; 0 vs 4; 0 vs 6,0.4,0.46,0.3,0.23,0.06,-0.1,-0.17,-0.16,-0.23,0.11
LOC411812,serine/threonine-protein kinase Doa,0 vs 2; 0 vs 4; 0 vs 6,0.55,0.57,0.43,0.47,0.01,-0.12,-0.09,-0.13,-0.1,-0.1
LOC724951,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,0 vs 2; 0 vs 4; 0 vs 8,1.13,0.7,0.88,0.42,-0.43,-0.24,-0.71,0.19,-0.28,-0.04
LOC411739,stromal interaction molecule homolog,0 vs 2; 0 vs 4; 0 vs 8,-0.31,-0.13,-0.17,-0.35,0.19,0.14,-0.04,-0.05,-0.22,-0.21
LOC412813,zwei Ig domain protein zig-8,0 vs 2; 0 vs 4; 0 vs 8,0.81,0.36,0.65,0.44,-0.46,-0.16,-0.37,0.3,0.09,0.21
LOC410328,zinc finger protein 341,0 vs 2; 0 vs 4; 0 vs 8,0.22,0.09,0.12,0.19,-0.13,-0.1,-0.03,0.03,0.1,0.18
LOC409429,meiosis regulator and mRNA stability factor 1,0 vs 2; 0 vs 6; 0 vs 8,-0.46,-0.36,-0.49,-0.46,0.1,-0.04,-0,-0.13,-0.1,0.03
LOC100577771,uncharacterized LOC100577771,0 vs 2; 0 vs 6; 0 vs 8,0.91,0.83,1.09,1.06,-0.08,0.17,0.15,0.25,0.23,-0.18
LOC411902,transmembrane protein 205,0 vs 2; 0 vs 6; 0 vs 8,-0.51,-0.51,-0.56,-0.23,0,-0.05,0.28,-0.05,0.27,0.03
LOC409596,uncharacterized protein KIAA0825 homolog,0 vs 2; 0 vs 6; 0 vs 8,1.19,1.07,1.12,1.36,-0.12,-0.07,0.17,0.05,0.29,0.16
LOC102656261,uncharacterized LOC102656261,0 vs 2; 0 vs 6; 0 vs 8,1.17,1.21,1.18,1.41,0.04,0,0.24,-0.04,0.2,0.07
LOC413768,"2-oxoglutarate dehydrogenase, mitochondrial",0 vs 2; 0 vs 6; 0 vs 8,0.48,-0,-0.01,0.04,-0.48,-0.48,-0.44,-0,0.04,0.62
LOC102655337,uncharacterized LOC102655337,0 vs 2; 0 vs 6; 0 vs 8,1.38,0.96,1.61,1.77,-0.42,0.24,0.4,0.66,0.82,-0.36
LOC724859,myosin 9,0 vs 2; 0 vs 6; 0 vs 8,-0.4,-0.14,-0.24,-0.29,0.26,0.15,0.11,-0.11,-0.15,-0.32
LOC107964601,uncharacterized LOC107964601,0 vs 2; 0 vs 6; 0 vs 8,2.2,2.46,2.92,2.86,0.26,0.73,0.66,0.47,0.41,-0.54
LOC725914,uncharacterized LOC725914,0 vs 2; 0 vs 6; 0 vs 8,0.79,0.72,0.88,0.89,-0.07,0.09,0.09,0.16,0.16,-0.16
LOC724700,"putative transferase CAF17 homolog, mitochondrial",0 vs 2; 0 vs 6; 0 vs 8,0.17,0.33,0.55,0.78,0.17,0.38,0.62,0.21,0.45,-0.11
LOC100578156,uncharacterized LOC100578156,0 vs 2; 0 vs 6; 0 vs 8,-0.76,-0.41,-0.22,-0.12,0.35,0.54,0.64,0.19,0.29,-0.36
LOC100577543,fez family zinc finger protein 1,0 vs 2; 0 vs 6; 0 vs 8,-0.8,-0.34,-0.6,-0.7,0.45,0.2,0.1,-0.26,-0.35,-0.07
LOC100577544,uncharacterized LOC100577544,0 vs 2; 0 vs 6; 0 vs 8,1,0.66,0.99,0.97,-0.34,-0.01,-0.03,0.33,0.31,0.16
LOC107964937,putative uncharacterized protein DDB_G0271982,0 vs 2; 0 vs 6; 0 vs 8,0.81,0.83,1.1,1.24,0.02,0.28,0.43,0.26,0.41,-0.15
LOC409595,uncharacterized LOC409595,0 vs 2; 0 vs 6; 0 vs 8,-0.5,-0.46,-0.64,-0.53,0.03,-0.14,-0.03,-0.17,-0.07,0.2
Kr-h1,kruppel homolog 1,0 vs 2; 0 vs 6; 0 vs 8,-0.35,-0.29,-0.39,-0.49,0.06,-0.04,-0.15,-0.1,-0.2,-0.2
LOC408859,pyrroline-5-carboxylate reductase 2,0 vs 2; 0 vs 6; 0 vs 8,1.99,2.53,2.58,2.23,0.54,0.59,0.24,0.05,-0.3,-1.45
LOC113218590,low molecular weight phosphotyrosine protein phosphatase-like,0 vs 2; 0 vs 6; 0 vs 8,0.3,0.13,0.12,0.29,-0.17,-0.19,-0.01,-0.01,0.16,0.34
LOC724752,E3 ubiquitin-protein ligase TRIM71,0 vs 2; 0 vs 6; 0 vs 8,-0.67,-0.57,-0.73,-1.22,0.1,-0.06,-0.55,-0.16,-0.65,-0.02
LOC107964629,uncharacterized LOC107964629,0 vs 2; 0 vs 6; 0 vs 8,0.45,0.51,0.85,0.77,0.06,0.4,0.32,0.34,0.26,-0.11
LOC409573,zinc finger protein 2 homolog,0 vs 2; 0 vs 6; 0 vs 8,-0.35,-0.21,-0.45,-0.59,0.14,-0.1,-0.25,-0.24,-0.38,0.08
LOC409594,dnaJ homolog dnj-5,0 vs 2; 0 vs 6; 0 vs 8,-0.79,-0.59,-0.75,-1.18,0.2,0.04,-0.39,-0.15,-0.59,0.11
LOC107964138,uncharacterized LOC107964138,0 vs 2; 0 vs 6; 0 vs 8,0.21,0.05,0.19,0.4,-0.16,-0.02,0.18,0.14,0.35,0.51
LOC408944,probable JmjC domain-containing histone demethylation protein 2C,0 vs 2; 0 vs 6; 0 vs 8,-0.49,-0.3,-0.56,-0.51,0.18,-0.07,-0.03,-0.25,-0.21,-0.09
LOC100576697,uncharacterized LOC100576697,0 vs 2; 0 vs 6; 0 vs 8,1.98,3.04,3.06,3.4,1.06,1.08,1.42,0.02,0.36,-0.34
LOC724399,lethal(2)neighbour of Tid protein,0 vs 2; 0 vs 6; 0 vs 8,0.64,0.51,0.6,0.8,-0.14,-0.05,0.15,0.09,0.29,-0.07
LOC113218852,uncharacterized LOC113218852,0 vs 2; 0 vs 6; 0 vs 8,2,1.52,1.9,2.23,-0.48,-0.1,0.23,0.38,0.71,0.18
LOC726544,serine/threonine-protein phosphatase 4 regulatory subunit 1,0 vs 2; 0 vs 6; 0 vs 8,-0.29,0.04,-0.2,-0.34,0.33,0.09,-0.04,-0.24,-0.38,-0.18
LOC113218581,uncharacterized LOC113218581,0 vs 2; 0 vs 6; 2 vs 8,0.78,0.85,0.89,1.01,0.07,0.11,0.23,0.04,0.16,-0.08
LOC107965509,uncharacterized LOC107965509,0 vs 2; 0 vs 6; 2 vs 8,1.36,1.27,1.38,1.18,-0.09,0.02,-0.18,0.1,-0.09,-0.16
LOC100578631,uncharacterized LOC100578631,0 vs 2; 0 vs 6; 2 vs 8,0.64,0.13,0.14,0.15,-0.51,-0.5,-0.49,0.02,0.02,0.47
LOC725238,histone H1,0 vs 4; 0 vs 6; 0 vs 8,-0.47,-0.19,-0.43,-0.17,0.28,0.04,0.3,-0.24,0.01,-0.09
LOC413171,myosin-I heavy chain,0 vs 4; 0 vs 6; 0 vs 8,-0.22,-0.07,-0.36,-0.53,0.15,-0.14,-0.31,-0.29,-0.46,0.04
LOC411269,solute carrier family 35 member E1 homolog,0 vs 4; 0 vs 6; 0 vs 8,0.39,0.18,0.35,0.49,-0.21,-0.04,0.09,0.17,0.3,-0.03
LOC410533,ceramide-1-phosphate transfer protein,0 vs 4; 0 vs 6; 0 vs 8,0.37,0.52,0.71,0.71,0.14,0.34,0.34,0.19,0.19,-0.46
LOC413430,RAC serine/threonine-protein kinase,0 vs 4; 0 vs 6; 0 vs 8,0.37,0.45,0.37,0.48,0.08,0.01,0.12,-0.07,0.03,-0.15
LOC408391,AP-1 complex subunit mu-1,0 vs 4; 0 vs 6; 0 vs 8,0.29,0.15,0.14,0.15,-0.14,-0.16,-0.14,-0.02,-0,0.04
LOC100577122,cellular tumor antigen p53,0 vs 4; 0 vs 6; 0 vs 8,0.19,0.19,-0.01,0.16,0,-0.2,-0.03,-0.2,-0.03,0.25
LOC413730,"probable cytochrome P450 301a1, mitochondrial",0 vs 4; 0 vs 6; 0 vs 8,0.51,1.12,1.39,1.4,0.61,0.89,0.9,0.27,0.29,-0.7
LOC551499,FIT family protein CG10671,0 vs 4; 0 vs 6; 0 vs 8,0.41,0.55,0.52,0.45,0.14,0.11,0.04,-0.03,-0.09,-0.33
LOC102655030,glucose-induced degradation protein 4 homolog,0 vs 4; 0 vs 6; 0 vs 8,0.4,0.17,0.15,0.09,-0.23,-0.25,-0.31,-0.02,-0.08,0.14
